cohort,stage,feature,coefficient,standardizedCoefficient,absStandardizedCoefficient
top10HardTrailByHRR,E2 terrain physics + progress,logGapFactor,0.7496250968608782,0.5815798522661247,0.5815798522661247
top10HardTrailByHRR,E2 terrain physics + progress,altitudePenalty,9.116004838456607,0.1618016290543158,0.1618016290543158
top10HardTrailByHRR,E2 terrain physics + progress,progress,0.17526054426643217,0.10087806355113559,0.10087806355113559
top10HardTrailByHRR,E2 terrain physics + progress,terrain_climb,0.7925139372057287,0.6811781742012324,0.6811781742012324
top10HardTrailByHRR,E2 terrain physics + progress,terrain_descent,0.8807206826521572,0.7248582979868169,0.7248582979868169
top10HardTrailByHRR,E2 terrain physics + progress,terrain_flat,0.7280467516315644,0.6351519726593268,0.6351519726593268
top10HardTrailByHRR,E2 terrain physics + progress,terrain_mixed_climb_descent,0.781053595962052,0.5212414805017966,0.5212414805017966
top10HardTrailByHRR,E2 terrain physics + progress,terrain_steep_climb,0.7005682417781133,0.28377935607809524,0.28377935607809524
top10HardTrailByHRR,E2 terrain physics + progress,terrain_steep_descent,1.0491749135369515,0.3947999111408602,0.3947999111408602
top10HardTrailByHRR,E3 CTL readiness,intercept,5.069485875492734,,
top10HardTrailByHRR,E3 CTL readiness,logDistanceKm,1.1372563587622149,0.8311840695746131,0.8311840695746131
top10HardTrailByHRR,E3 CTL readiness,logGapFactor,0.7520314954870357,0.5834468027769263,0.5834468027769263
top10HardTrailByHRR,E3 CTL readiness,altitudePenalty,7.707864214352339,0.13680828482566068,0.13680828482566068
top10HardTrailByHRR,E3 CTL readiness,progress,0.19514896801546358,0.11232562400054687,0.11232562400054687
top10HardTrailByHRR,E3 CTL readiness,ctl,-0.18289713136716362,-0.10542004002935557,0.10542004002935557
top10HardTrailByHRR,E3 CTL readiness,tsb,0.03710603511296861,0.012536366010155486,0.012536366010155486
top10HardTrailByHRR,E3 CTL readiness,terrain_climb,0.8007108350871976,0.6882235366496199,0.6882235366496199
top10HardTrailByHRR,E3 CTL readiness,terrain_descent,0.8888263802348002,0.7315295188057233,0.7315295188057233
top10HardTrailByHRR,E3 CTL readiness,terrain_flat,0.7796355466742632,0.6801583199372413,0.6801583199372413
top10HardTrailByHRR,E3 CTL readiness,terrain_mixed_climb_descent,0.8209097938678057,0.5478397878535203,0.5478397878535203
top10HardTrailByHRR,E3 CTL readiness,terrain_steep_climb,0.7495879431688639,0.30363577900200733,0.30363577900200733
top10HardTrailByHRR,E3 CTL readiness,terrain_steep_descent,1.0298153764600717,0.38751500238154385,0.38751500238154385
top10HardTrailByHRR,E4 REDI readiness,intercept,5.064637731161625,,
top10HardTrailByHRR,E4 REDI readiness,logDistanceKm,1.1423792514281665,0.8349282269418351,0.8349282269418351
top10HardTrailByHRR,E4 REDI readiness,logGapFactor,0.7633700844681649,0.5922435932421409,0.5922435932421409
