cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted
3.5293971258148185,602.0,218.48000000000002,0.00777016248517816,15.963568123744281,20.43131619668574,110,,,
3.551439613409358,604.0,218.71999999999997,0.009369149158086582,30.664037873725515,20.425997404501057,109,,,
3.561652579642409,607.0,218.64000000000001,0.009529656803731154,12.255559479660846,17.559158668058608,106,,,
3.5735718609259632,609.0,218.56000000000003,0.008305553028273894,21.45470631039837,16.437953325011982,106,,,
3.5868939641491755,614.0,218.51999999999998,0.004110891166570674,9.591914320712691,13.814312595194593,106,,,
3.6015976178672573,618.0,218.64000000000001,-0.0016157588778847518,13.233288346273786,13.062293802144168,106,,,
3.615685509753508,622.0,218.68,-0.01152659514116151,12.679102697625352,11.422249834425841,107,,,
3.625266086845793,628.0,218.71999999999997,-0.02108862919607421,5.748346255371016,8.31828590398867,108,,,
3.632288534885302,632.0,218.6,-0.03369209873032136,6.3202032355579885,7.048608257245742,108,,,
3.637048373518739,640.0,218.4,-0.04926156504236991,2.1419273850468867,4.963631445327207,106,,,
3.6379246032787727,647.0,217.95999999999998,-0.07312487654727355,0.45063244801732927,4.287775480493356,107,,,
3.6386755957399775,648.0,217.56,-0.10051073052526127,2.70357286033754,3.008327294376283,107,,,
3.639561842444867,654.0,217.16000000000003,-0.13134833596954684,0.5317480229335647,1.9084857616305997,104,,,
3.641864135863747,656.0,216.8,-0.1709147980437546,4.14412815398396,1.5455232589121664,103,,,
3.6435553322775696,657.0,216.4,-0.2013726268056259,6.088307089761114,1.0528848440581904,102,,,
3.644750698776563,664.0,216.04000000000002,-0.22876809406504645,0.6147599137679448,0.9499362661471815,101,,,
3.6459808348116094,667.0,215.6,-0.2501936330141528,1.4761632420557114,0.9654696019122184,100,,,
3.647481954650068,670.0,215.0,-0.2629197816161641,1.8013438061499332,0.9004945421262873,99,,,
3.6488122970163546,679.0,214.48000000000002,-0.2530342878129974,0.5321369465146255,1.289630846233405,99,,,
3.650751621850397,688.0,214.01999999999998,-0.2261980212202607,0.7757299336169289,1.285773092531567,98,,,
3.6523904049951663,694.0,213.61999999999998,-0.18864451957544906,0.9832698868615346,1.0124720934554599,99,,,
3.6540177504585256,698.0,213.34,-0.13200323926464658,1.4646109170234871,0.9977981241353511,102,,,
3.6558128164505432,699.0,213.3,-0.08677368023745909,6.462237571263225,1.102881583821056,102,,,
3.6570336104621544,701.0,213.42,-0.042666558137293344,2.1974292208998882,1.0535048678955174,103,,,
3.6572581995441085,703.0,213.56,-0.030399404266798612,0.40426034751759005,1.0502376682828023,103,,,
3.6574805897040403,707.0,213.84,-0.01560864795906385,0.20015114393857422,1.131734748755059,102,,,
3.658036786040553,708.0,213.95999999999998,-0.002598952706810623,2.0023068114468496,1.1196325226050845,102,,,
3.6587690260869725,712.0,214.0,0.013145249942846392,0.659016041777364,1.1910650271079444,101,,,
3.659302379101233,719.0,213.84,0.012833982613488707,0.2742958359053781,0.8521402565228616,98,,,
3.659971204873651,721.0,213.67999999999998,0.0012353188573340072,1.2038863903526593,0.8828469440779566,97,,,
3.6604914007018308,727.0,213.4,-0.01291075242551586,0.31211749690796303,2.9587671091714607,96,,,
3.6620190524058764,730.0,213.24,-0.04396406540302046,1.8331820448546523,3.854462397579726,95,,,
